# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Gross Wing B (T + D),0,MLEIZEOZLS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,33
# x,y,z,u,w
1.227837847602267630e+03, 6.999999999999998579e+01, 0.000000000000000000e+00, 1.399999999999999911e+00, 0.000000000000000000e+00
1.164624493250579235e+03, 6.999999999999998579e+01, -3.556019459456684739e+00, 1.399999999999999911e+00, 1.285000000000000031e-01
1.101386751094095644e+03, 6.999999999999998579e+01, -6.639434459446246883e+00, 1.399999999999999911e+00, 2.530000000000000027e-01
1.038127998947645665e+03, 6.999999999999998579e+01, -9.249653800495742928e+00, 1.399999999999999911e+00, 3.775000000000000022e-01
9.748516146260571986e+02, 6.999999999999998579e+01, -1.138608628313223647e+01, 1.399999999999999911e+00, 5.020000000000000018e-01
9.115607775531374273e+02, 6.999999999999998579e+01, -1.304820266904601667e+01, 1.399999999999999911e+00, 6.265000000000000568e-01
8.482589763171704362e+02, 6.999999999999998579e+01, -1.423571413503561978e+01, 1.399999999999999911e+00, 7.510000000000000009e-01
7.849500524796994796e+02, 6.999999999999998579e+01, -1.494839010429046944e+01, 1.399999999999999911e+00, 8.754999999999999449e-01
7.216378476022675841e+02, 6.999999999999998579e+01, -1.518599999999999817e+01, 1.399999999999999911e+00, 1.000000000000000000e+00
6.583256427248356886e+02, 6.999999999999998579e+01, -1.494839010429047654e+01, 1.399999999999999911e+00, 1.124500000000000055e+00
5.950167188873647319e+02, 6.999999999999998579e+01, -1.423571413503562688e+01, 1.399999999999999911e+00, 1.249000000000000110e+00
5.317149176513978546e+02, 6.999999999999998579e+01, -1.304820266904602377e+01, 1.399999999999999911e+00, 1.373499999999999943e+00
4.684240805784779695e+02, 6.999999999999998579e+01, -1.138608628313224003e+01, 1.399999999999999911e+00, 1.497999999999999998e+00
4.051476962568893896e+02, 6.999999999999998579e+01, -9.249653800495742928e+00, 1.399999999999999911e+00, 1.622500000000000053e+00
3.418889441104395246e+02, 6.999999999999998579e+01, -6.639434459446246883e+00, 1.399999999999999911e+00, 1.746999999999999886e+00
2.786512019539561607e+02, 6.999999999999998579e+01, -3.556019459456683407e+00, 1.399999999999999911e+00, 1.871499999999999941e+00
2.154378476022676807e+02, 6.999999999999998579e+01, 0.000000000000000000e+00, 1.399999999999999911e+00, 2.000000000000000000e+00
2.786512019539559901e+02, 6.999999999999998579e+01, 3.556019459456671861e+00, 1.399999999999999911e+00, 2.128499999999999837e+00
3.418889441104394109e+02, 6.999999999999998579e+01, 6.639434459446241554e+00, 1.399999999999999911e+00, 2.253000000000000114e+00
4.051476962568893896e+02, 6.999999999999998579e+01, 9.249653800495741152e+00, 1.399999999999999911e+00, 2.377499999999999947e+00
4.684240805784778559e+02, 6.999999999999998579e+01, 1.138608628313223470e+01, 1.399999999999999911e+00, 2.501999999999999780e+00
5.317149176513976272e+02, 6.999999999999998579e+01, 1.304820266904601844e+01, 1.399999999999999911e+00, 2.626500000000000057e+00
5.950167188873645046e+02, 6.999999999999998579e+01, 1.423571413503562155e+01, 1.399999999999999911e+00, 2.750999999999999890e+00
6.583256427248354612e+02, 6.999999999999998579e+01, 1.494839010429047299e+01, 1.399999999999999911e+00, 2.875499999999999723e+00
7.216378476022675841e+02, 6.999999999999998579e+01, 1.518599999999999817e+01, 1.399999999999999911e+00, 3.000000000000000000e+00
