"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
638, 4.716249220700000e+01, 1.174359754300000e-16, 2.917875023400000e+00, 1.172829579001487e+00, 1.135163008601165e-01, 7.588037789420758e-01
656, 4.702883733600000e+01, 8.192544690600000e-02, 2.780233543900000e+00, 1.117157571572787e+00, 2.172286002717794e-03, 8.007702931625631e-01
647, 4.713229695800000e+01, 1.035783345000000e-01, 2.758902808200000e+00, 1.077980785691945e+00, -7.618128575896677e-02, 8.271336156218595e-01
704, 4.716911739400000e+01, 7.649580616800000e-02, 2.842827498900000e+00, 1.128654062690524e+00, 2.516526823819065e-02, 7.999687677265102e-01
247, 4.690912429500000e+01, 1.116723816600000e-16, 2.823748394000000e+00, 1.153687268291261e+00, 7.523167943966547e-02, 7.532285438662659e-01
245, 4.694662520700000e+01, 7.503553391900000e-02, 2.765484096300000e+00, 1.131046742348601e+00, 2.995062755434486e-02, 7.961548856214189e-01
24, 4.404253866400000e+01, 1.056195763000000e-01, 1.651785812400000e+00, 1.135179930129567e+00, 3.821700311627740e-02, 7.597056303863533e-01
27, 4.384509971400000e+01, 5.764271913600000e-02, 1.655815109600000e+00, 1.253780420730724e+00, 2.754179843185919e-01, 6.897584634092859e-01
675, 4.415835921000000e+01, 1.238485868900000e-01, 1.649733257900000e+00, 1.135737422397526e+00, 3.933198765219447e-02, 7.716883373395712e-01
25, 4.377061428000000e+01, 4.027779738800000e-17, 1.657786349800000e+00, 1.233060054685329e+00, 2.339772522278012e-01, 6.972299107809796e-01
28, 5.611216513500000e+01, 5.554233905500000e-03, 2.193269064600000e+00, 1.177616945341421e+00, 1.230910335399851e-01, 7.408663207460670e-01
29, 5.621483952600000e+01, 7.764276905200000e-17, 2.268002645400000e+00, 1.199732334713854e+00, 1.673218122848521e-01, 7.229967544508209e-01
30, 5.623860091700000e+01, 7.117307780800000e-17, 2.162344569200000e+00, 1.199521476915475e+00, 1.669000966880936e-01, 7.250869146943856e-01
449, 5.611592777800000e+01, 4.310317730200000e-03, 2.295976861400000e+00, 1.179686360579014e+00, 1.272298640151712e-01, 7.396718135837447e-01
570, 5.617519136700000e+01, 3.650969966100000e-03, 2.095750881000000e+00, 1.184447919668834e+00, 1.367529821948108e-01, 7.324676688755544e-01
358, 5.601235737700000e+01, 1.091976240000000e-02, 2.118513965700000e+00, 1.164306778232792e+00, 9.647069932272732e-02, 7.552520574631998e-01
359, 5.600303623000000e+01, 9.898864394600001e-03, 2.258711379800000e+00, 1.167862982535095e+00, 1.035831079273333e-01, 7.540245259965820e-01
415, 5.610080542800000e+01, 7.351671421100000e-03, 2.070766542100000e+00, 1.171139747624931e+00, 1.101366381070052e-01, 7.506788221174063e-01
407, 5.619174161400000e+01, 8.393180991700000e-17, 2.370710477100000e+00, 1.197161170049966e+00, 1.621794829570748e-01, 7.289380733003893e-01
567, 5.626304733700000e+01, 6.451686868700000e-17, 2.053640424800000e+00, 1.200701755698743e+00, 1.692606542546291e-01, 7.248197274291686e-01
65, 5.271089167800000e+01, 1.493461739100000e-01, 1.450673908800000e+00, 1.097603181111299e+00, -3.693649492025886e-02, 8.146878004998319e-01
404, 5.257786210900000e+01, 1.506974853800000e-01, 1.692239516200000e+00, 1.096411310930865e+00, -3.932023528112616e-02, 8.143759458479787e-01
66, 5.270632704500000e+01, 1.431952262900000e-01, 1.932867508800000e+00, 1.094807109159706e+00, -4.252863882344515e-02, 8.155831767512406e-01
403, 5.247261482200000e+01, 1.573411444100000e-01, 1.457516713000000e+00, 1.096634569616535e+00, -3.887371790978600e-02, 8.135452766468334e-01
123, 5.279035275700000e+01, 1.371850537000000e-01, 2.171255255000000e+00, 1.094643346084357e+00, -4.285616497414191e-02, 8.164998461700013e-01
116, 5.245216324300000e+01, 1.513296620600000e-01, 1.944940084400000e+00, 1.092994138138172e+00, -4.615458086651358e-02, 8.174660706686694e-01
117, 5.258983322600000e+01, 1.440646495100000e-01, 2.144973214400000e+00, 1.093065844752166e+00, -4.601116763852441e-02, 8.175998734562020e-01
68, 5.190760240600000e+01, 1.669405389200000e-01, 2.020362407000000e+00, 1.089649181097093e+00, -5.284449494867083e-02, 8.200699643842694e-01
69, 5.197840523900000e+01, 1.693536211600000e-01, 1.732546302000000e+00, 1.090877770992208e+00, -5.038731515844085e-02, 8.183661646181528e-01
713, 5.170352346700000e+01, 1.690729093700000e-01, 2.231664077600000e+00, 1.086531114486432e+00, -5.908062816999359e-02, 8.233750443888024e-01
418, 5.219312652900000e+01, 1.587374470100000e-01, 1.995504432800000e+00, 1.091138900500360e+00, -4.986505614213676e-02, 8.190879550207515e-01
610, 5.205549883200000e+01, 1.582632457800000e-01, 2.283188001400000e+00, 1.088388004859713e+00, -5.536684742343168e-02, 8.216387134199991e-01
801, 4.428397949600000e+01, 6.089266482200000e-02, 1.813963480200000e+00, 1.195121583705336e+00, 1.581003102678160e-01, 7.389109603659839e-01
758, 4.423792245000000e+01, 5.090808767000000e-17, 1.831392164800000e+00, 1.192904514304006e+00, 1.536661714651552e-01, 7.377333596562239e-01
501, 4.451821373100000e+01, 5.728413215500000e-17, 1.935520873400000e+00, 1.159543618845424e+00, 8.694438054799079e-02, 7.472690284184628e-01
36, 4.493764776700000e+01, 7.644022256400000e-02, 2.032009934300000e+00, 1.164114423464088e+00, 9.608598978531990e-02, 7.785178626094529e-01
37, 4.485012287000000e+01, 8.248456631200000e-02, 1.989919960700000e+00, 1.173839661904106e+00, 1.155364666653558e-01, 7.745680295127801e-01
38, 4.489187337700000e+01, 6.578411303600000e-17, 2.074336095600000e+00, 1.185070115905626e+00, 1.379973746683958e-01, 7.511046841171564e-01
261, 4.494622943900000e+01, 1.227936486500000e-01, 1.932115446900000e+00, 1.081411799124666e+00, -6.931925889352542e-02, 8.137924272671210e-01
673, 4.498527358400000e+01, 6.790877375800000e-17, 2.109034438400000e+00, 1.157142817729922e+00, 8.214277831698791e-02, 7.500251443679016e-01
260, 4.503160754500000e+01, 1.113610720500000e-01, 1.993370605300000e+00, 1.074349387588237e+00, -8.344408196638220e-02, 8.186800125116889e-01
422, 4.501489037700000e+01, 6.706682337200000e-02, 2.074579753900000e+00, 1.183555178454738e+00, 1.349674997666188e-01, 7.652314431806159e-01
577, 4.479846302600000e+01, 6.365922154100000e-17, 2.039633984000000e+00, 1.164138987494472e+00, 9.613511784608784e-02, 7.577404453686742e-01
173, 4.475385992300000e+01, 8.261759170800000e-02, 1.954614788600000e+00, 1.144306537781527e+00, 5.647021842019750e-02, 7.882485958423481e-01
171, 4.483571789000000e+01, 1.277199374700000e-01, 1.878782590000000e+00, 1.097339295786132e+00, -3.746426557059301e-02, 7.968159646302502e-01
39, 4.572858984000000e+01, 7.422143546399999e-02, 2.324420992500000e+00, 1.193839703586200e+00, 1.555365500295425e-01, 7.572664585274808e-01
40, 4.563905187100000e+01, 8.278087190600000e-17, 2.351914233000000e+00, 1.152118380878440e+00, 7.209390461402342e-02, 7.442639380144361e-01
41, 4.573224364200000e+01, 8.490079114599999e-17, 2.386535141500000e+00, 1.177440288123745e+00, 1.227377191046335e-01, 7.466885373909800e-01
250, 4.565451813000000e+01, 9.186292177400000e-02, 2.263112721800000e+00, 1.091719267575105e+00, -4.870432199264663e-02, 8.055269828265638e-01
515, 4.580588934000000e+01, 6.238733372800000e-02, 2.371287608900000e+00, 1.165157883462045e+00, 9.817290978123250e-02, 7.846268686720018e-01
238, 4.582917097400000e+01, 1.043690976100000e-01, 2.295806481000000e+00, 1.076157196391860e+00, -7.982846435913693e-02, 8.088814242686946e-01
251, 4.575929927200000e+01, 1.201191950400000e-01, 2.226397776900000e+00, 1.079621171392462e+00, -7.290051435793198e-02, 8.181705802075419e-01
798, 4.559724488200000e+01, 5.232718082200000e-02, 2.307511259300000e+00, 1.140677819250613e+00, 4.921278135836892e-02, 7.847639048513555e-01
293, 4.554567654800000e+01, 8.065677725000000e-17, 2.317225134700000e+00, 1.151546293541632e+00, 7.094972994040649e-02, 7.611514027898892e-01
525, 4.582523052200000e+01, 8.701604954100000e-17, 2.421079932600000e+00, 1.124814635202223e+00, 1.748641326158884e-02, 7.731523977704591e-01
42, 4.610297337200000e+01, 9.333412250400000e-17, 2.524261894400000e+00, 1.159901714843688e+00, 8.766057254451942e-02, 7.524755932090914e-01
43, 4.619517188800000e+01, 9.543144725199999e-17, 2.558513806900000e+00, 1.176537611533225e+00, 1.209323659235935e-01, 7.551386795839878e-01
44, 4.616139118300000e+01, 7.445822307800000e-02, 2.481609151200000e+00, 1.165312201529424e+00, 9.848154591599199e-02, 7.822843971262674e-01
180, 4.606203957100000e+01, 7.525235379100000e-02, 2.444021356600000e+00, 1.141892525509305e+00, 5.164219387575252e-02, 7.770580392000851e-01
590, 4.601060183600000e+01, 9.123286191100000e-17, 2.489945704700000e+00, 1.148995606847542e+00, 6.584835655222765e-02, 7.679220693656650e-01
146, 4.624970191800000e+01, 5.807954363300000e-02, 2.540114687400000e+00, 1.138207468792452e+00, 4.427208044204755e-02, 7.814440780256339e-01
537, 4.628715784900000e+01, 9.752393682600000e-17, 2.592686755000000e+00, 1.164498737138249e+00, 9.685461713364152e-02, 7.506553958449316e-01
147, 4.625845088100000e+01, 9.330306843300000e-02, 2.476984646000000e+00, 1.095478579847178e+00, -4.118569744849986e-02, 8.236108048115017e-01
164, 4.621319577700000e+01, 1.123105858200000e-01, 2.409553095200000e+00, 1.079936527481314e+00, -7.226980218022971e-02, 8.129146914543897e-01
181, 4.612184333100000e+01, 1.142316180400000e-01, 2.371651650800000e+00, 1.077701889468688e+00, -7.673907820548109e-02, 8.079276119892215e-01
45, 4.724522408600000e+01, 1.193179538400000e-16, 2.948610063400000e+00, 1.161133999980898e+00, 9.012514281893891e-02, 7.633106459340607e-01
46, 4.732710209000000e+01, 1.211805083900000e-16, 2.979027887400000e+00, 1.157187731958655e+00, 8.223260677445321e-02, 7.760559088621175e-01
47, 4.731720262600000e+01, 6.250027873900001e-02, 2.923742119000000e+00, 1.152333862657775e+00, 7.252486817269420e-02, 7.856988245192559e-01
479, 4.723990232000000e+01, 7.225995296100000e-02, 2.877285508100000e+00, 1.161636609756767e+00, 9.113036237067716e-02, 7.849900911029657e-01
742, 4.743632311500000e+01, 6.546223546000000e-02, 2.961739790600000e+00, 1.159869384605213e+00, 8.759591206756934e-02, 7.812667383439400e-01
741, 4.740817355900000e+01, 1.230247159200000e-16, 3.009146082100000e+00, 1.145520356608135e+00, 5.889785607341302e-02, 7.568180251965694e-01
480, 4.732232269700000e+01, 1.016636546400000e-01, 2.831433600500000e+00, 1.078601734659234e+00, -7.493938782438869e-02, 8.238984156613298e-01
754, 4.738330378300000e+01, 8.872107426000000e-02, 2.890303120900000e+00, 1.046407500457555e+00, -1.393278562277471e-01, 8.333232155765811e-01
48, 4.682294566900000e+01, 1.097119969200000e-16, 2.791732881600000e+00, 1.163477426195094e+00, 9.481199524733031e-02, 7.584108278953383e-01
49, 4.679539901100000e+01, 7.310488222700000e-02, 2.714471815500000e+00, 1.141605641560034e+00, 5.106842597721028e-02, 7.785502165314527e-01
50, 4.673588220400000e+01, 1.077314839100000e-16, 2.759388649700000e+00, 1.138347702192934e+00, 4.455254724301038e-02, 7.739252230982806e-01
246, 4.687152900300000e+01, 6.741267496000000e-02, 2.752754612800000e+00, 1.181734281422214e+00, 1.313257057015718e-01, 7.699454286388524e-01
725, 4.670417222900000e+01, 5.702561906500000e-02, 2.708297400900000e+00, 1.165346938072535e+00, 9.855101900221275e-02, 7.867321474374374e-01
190, 4.690086132500000e+01, 1.117589297000000e-01, 2.651866237300000e+00, 1.086312770029677e+00, -5.951731708350305e-02, 8.094417534974921e-01
192, 4.680025791600000e+01, 1.063239041100000e-01, 2.633978775000000e+00, 1.070502957328690e+00, -9.113694248547731e-02, 8.161683829907425e-01
303, 4.671613916100000e+01, 9.419476528400000e-02, 2.638338094700000e+00, 1.060782719852700e+00, -1.105774174374567e-01, 8.352813286295083e-01
263, 4.664794945700000e+01, 1.057311965500000e-16, 2.726721478000000e+00, 1.177707892385475e+00, 1.232729276280930e-01, 7.428100747507634e-01
51, 4.772359151400000e+01, 6.903256076800000e-02, 3.058914597700000e+00, 1.140077216173813e+00, 4.801157520476895e-02, 7.986128222298903e-01
52, 4.764644046100000e+01, 1.284447930600000e-16, 3.097662659100000e+00, 1.171213017945254e+00, 1.102831787476521e-01, 7.582643938557125e-01
53, 4.772426401600000e+01, 1.302151173100000e-16, 3.126574248200000e+00, 1.176907593575061e+00, 1.216723300072662e-01, 7.484712618400982e-01
320, 4.763322350700000e+01, 6.605540048899999e-02, 3.032103765100000e+00, 1.143288118007959e+00, 5.443337887306132e-02, 7.884916907233535e-01
149, 4.778157651300000e+01, 4.908246662900000e-02, 3.114660663800000e+00, 1.184850341056625e+00, 1.375578249703926e-01, 7.671456255941018e-01
265, 4.782555646100000e+01, 8.073839707800000e-02, 3.068630874900000e+00, 1.054685313087506e+00, -1.227722309678452e-01, 8.368903873520478e-01
199, 4.780084326500000e+01, 1.024697758800000e-01, 2.995512096600000e+00, 1.088570976460938e+00, -5.500090422098002e-02, 8.189888872966758e-01
790, 4.770836349000000e+01, 9.777251403900000e-02, 2.978754138400000e+00, 1.076842091610935e+00, -7.845867392098603e-02, 8.160848028839089e-01
735, 4.756783307200000e+01, 1.266566382200000e-16, 3.068459874400000e+00, 1.170327908183060e+00, 1.085129592232623e-01, 7.633844937858153e-01
150, 4.780128761500000e+01, 1.319672442100000e-16, 3.155188651900000e+00, 1.152314524813471e+00, 7.248619248408605e-02, 7.617146145178669e-01
54, 5.431173994000000e+01, 6.891215749700000e-02, 3.400000000000000e+00, 1.109936964160076e+00, -1.226892882270425e-02, 8.027386007775065e-01
55, 5.432820632200000e+01, 7.028655239300000e-02, 3.223792129200000e+00, 1.110670213897180e+00, -1.080242934849762e-02, 8.019924573524861e-01
56, 5.408868817700000e+01, 7.702750744500000e-02, 3.400000000000000e+00, 1.106463853621646e+00, -1.921514989956519e-02, 8.057776754445533e-01
412, 5.452656203800000e+01, 6.082307879700000e-02, 3.400000000000000e+00, 1.114376913324032e+00, -3.389030494791889e-03, 7.989722624009769e-01
955, 5.407807161600000e+01, 7.588099884799999e-02, 3.601117158700000e+00, 1.105147384776050e+00, -2.184808759075585e-02, 8.068231967555463e-01
953, 5.436690476000000e+01, 6.526954355600000e-02, 3.617165220800000e+00, 1.110884706787912e+00, -1.037344356703329e-02, 8.014879260745896e-01
83, 5.407360005200000e+01, 8.003181997800000e-02, 3.192515207700000e+00, 1.106867694583393e+00, -1.840746797607018e-02, 8.060855090692256e-01
